year,month,day,hour,minute,second,latitude,longitude,anything,mag_type,magnitude,datetime
1970,1,5,1,0,34.0,24.1,102.6,13,Ms,7.8,1970-01-05 01:00:34.000
1974,5,11,3,25,15.5,28.1,104.0,0,Ms,7.1,1974-05-11 03:25:15.500
1976,11,7,2,4,5.0,27.5,101.08,19,Ms,6.7,1976-11-07 02:04:05.000
1979,3,15,20,52,25.0,23.12,101.25,10,Ms,6.8,1979-03-15 20:52:25.000
1995,10,24,6,46,52.2,25.83,102.32,15,Ms,6.6,1995-10-24 06:46:52.200
1996,2,3,19,14,18.1,27.3,100.22,10,Ms,6.9,1996-02-03 19:14:18.100
2014,8,3,16,30,12.0,27.11,103.33,10,Ms,6.6,2014-08-03 16:30:12.000
2014,10,7,21,49,39.3,23.4,100.55,10,Ms,6.9,2014-10-07 21:49:39.300
2022,9,5,12,52,18.0,29.59,102.09,16,Mw,6.6,2022-09-05 12:52:18.000
