year,month,day,hour,minute,second,latitude,longitude,depth,mag_type,magnitude
1970,3,12,3,38,22.5,32.5,103.1,0,ML,3.0
1970,3,12,11,13,0.0,32.4,104.5,0,ML,3.7
1970,3,15,6,6,18.0,30.6,103.2,53,ML,4.7
1970,3,22,18,42,3.0,31.6,103.9,0,ML,4.9
1970,3,22,19,6,59.0,31.6,103.9,0,ML,3.7
1970,3,23,23,15,33.1,31.3,103.6,0,ML,2.6
1970,3,23,23,26,28.2,31.3,103.6,0,ML,1.7
1970,4,1,23,9,53.0,30.6,103.2,33,ML,3.8
1970,4,2,0,21,12.0,30.6,103.0,27,ML,3.0
1970,4,3,17,0,19.0,30.6,103.0,31,ML,2.9
1970,4,7,12,13,35.2,31.7,103.8,17,ML,2.1
1970,4,11,16,29,21.9,31.7,103.8,5,ML,2.0
1970,4,12,16,3,48.0,30.6,103.1,30,ML,2.6
1970,4,13,13,30,24.0,30.6,103.1,27,ML,3.5
1970,4,13,14,53,36.0,30.5,103.1,29,ML,2.3
1970,4,13,18,48,12.0,30.5,103.2,30,ML,2.7
1970,4,19,1,37,25.0,30.6,103.1,38,ML,2.1
1970,4,19,12,56,33.0,30.6,103.2,44,ML,2.7
1970,4,22,20,58,16.0,31.5,103.8,5,ML,3.1
1970,4,23,17,32,42.5,32.85,105.8,0,ML,2.3
1970,4,29,2,19,30.0,30.5,103.2,41,ML,2.6
1970,4,30,11,25,6.0,30.6,103.1,27,ML,3.1
1970,5,1,18,22,48.5,31.4,104.4,0,ML,2.2
1970,5,7,7,27,40.0,30.6,103.0,50,ML,1.7
1970,5,7,16,22,26.9,31.6,104.0,0,ML,2.4
1970,5,11,17,5,22.0,31.7,104.0,0,ML,2.5
1970,5,15,15,37,51.4,32.17,105.17,0,ML,3.5
1970,5,16,18,14,2.0,30.6,103.2,50,ML,1.8
1970,5,26,0,23,28.5,31.5,103.8,0,ML,2.5
1970,5,28,12,41,0.0,30.6,103.4,27,ML,2.3
1970,5,30,23,47,32.2,30.7,103.7,20,ML,2.3
1970,6,1,14,22,58.0,30.6,103.2,30,ML,2.5
1970,6,9,15,54,7.0,30.8,103.5,19,ML,2.3
1970,6,11,4,43,16.0,30.6,103.0,38,ML,2.2
1970,6,14,20,15,19.0,30.8,103.1,18,ML,2.0
1970,6,19,15,21,57.0,31.4,103.9,0,ML,3.3
1970,6,23,5,19,3.0,30.6,103.1,0,ML,1.7
1970,7,9,16,50,0.0,30.68,103.0,0,ML,2.6
1970,7,17,23,50,29.1,32.43,105.05,0,ML,3.4
1970,7,18,1,48,28.0,31.55,103.87,0,ML,3.3
1970,7,25,16,34,53.0,30.97,103.47,14,ML,2.5
1970,7,26,1,24,4.0,30.7,103.05,0,ML,2.6
1970,7,27,2,56,32.0,30.7,103.1,0,ML,2.4
1970,7,29,23,44,55.0,32.72,104.58,0,ML,2.5
1970,8,5,15,14,28.3,32.12,105.28,0,ML,3.2
1970,8,7,17,12,42.5,31.5,104.2,0,ML,2.3
1970,8,11,16,18,12.7,31.7,104.5,0,ML,2.4
1970,8,14,4,21,11.7,31.6,104.6,0,ML,2.4
1970,8,15,16,30,50.4,32.52,105.25,0,ML,2.9
1970,8,17,19,26,19.0,32.1,103.2,0,ML,2.8
1970,8,23,21,13,53.0,32.3,103.9,0,ML,2.2
1970,9,7,17,8,40.0,32.4,104.6,0,ML,2.8
1970,9,11,15,45,38.0,31.58,103.0,0,ML,2.7
1970,9,13,23,30,11.5,30.67,103.0,0,ML,1.6
1970,9,15,16,58,31.5,30.7,103.03,0,ML,1.8
1970,9,26,14,33,24.0,31.63,103.15,0,ML,2.6
1970,10,15,21,37,17.0,31.8,104.2,0,ML,3.0
1970,10,15,22,52,8.0,31.8,104.2,0,ML,2.6
1970,10,22,14,38,54.0,31.6,104.0,0,ML,3.0
1970,10,29,6,59,29.0,32.8,103.6,0,ML,2.5
1970,11,7,0,19,49.0,31.88,104.25,0,ML,3.3
1970,11,17,16,35,44.0,32.1,105.2,0,ML,2.9
1970,11,19,22,53,48.0,31.57,104.37,0,ML,2.6
1970,11,22,6,39,2.0,30.87,103.47,0,ML,2.2
